Product Handle,Product Title,Product Status,Shopify Product ID,Shopify Product GID,Shopify Admin URL,CJ Source SKU,CJ Product URL,Variant Title,Variant SKU,Shopify Variant ID,Shopify Variant GID,Inventory Item ID,Inventory Item GID,Inventory Tracked,Inventory Policy,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Option 3 Name,Option 3 Value,CJ Connection Step,Connection Status
luma-tassel-cotton-throw,Luma Tassel Cotton Throw,ACTIVE,15796866449742,gid://shopify/Product/15796866449742,https://admin.shopify.com/store/vre00g-8b/products/15796866449742,CJYD205807501AZ,https://cjdropshipping.com/product/household-fashion-tassel-simple-cloth-blanket-p-2406110909121605500.html,Curry / 130 x 170 cm,CM-CJYD205807501AZ-CURRY-130-X-170-CM,59516337848654,gid://shopify/ProductVariant/59516337848654,57931505369422,gid://shopify/InventoryItem/57931505369422,FALSE,CONTINUE,Color,Curry,Size,130 x 170 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
luma-tassel-cotton-throw,Luma Tassel Cotton Throw,ACTIVE,15796866449742,gid://shopify/Product/15796866449742,https://admin.shopify.com/store/vre00g-8b/products/15796866449742,CJYD205807501AZ,https://cjdropshipping.com/product/household-fashion-tassel-simple-cloth-blanket-p-2406110909121605500.html,Curry / 150 x 200 cm,CM-CJYD205807501AZ-CURRY-150-X-200-CM,59516337881422,gid://shopify/ProductVariant/59516337881422,57931505402190,gid://shopify/InventoryItem/57931505402190,FALSE,CONTINUE,Color,Curry,Size,150 x 200 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
luma-tassel-cotton-throw,Luma Tassel Cotton Throw,ACTIVE,15796866449742,gid://shopify/Product/15796866449742,https://admin.shopify.com/store/vre00g-8b/products/15796866449742,CJYD205807501AZ,https://cjdropshipping.com/product/household-fashion-tassel-simple-cloth-blanket-p-2406110909121605500.html,Beige / 80 x 130 cm,CM-CJYD205807501AZ-BEIGE-80-X-130-CM,59516337914190,gid://shopify/ProductVariant/59516337914190,57931505434958,gid://shopify/InventoryItem/57931505434958,FALSE,CONTINUE,Color,Beige,Size,80 x 130 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
luma-tassel-cotton-throw,Luma Tassel Cotton Throw,ACTIVE,15796866449742,gid://shopify/Product/15796866449742,https://admin.shopify.com/store/vre00g-8b/products/15796866449742,CJYD205807501AZ,https://cjdropshipping.com/product/household-fashion-tassel-simple-cloth-blanket-p-2406110909121605500.html,Beige / 130 x 170 cm,CM-CJYD205807501AZ-BEIGE-130-X-170-CM,59516337946958,gid://shopify/ProductVariant/59516337946958,57931505467726,gid://shopify/InventoryItem/57931505467726,FALSE,CONTINUE,Color,Beige,Size,130 x 170 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
luma-tassel-cotton-throw,Luma Tassel Cotton Throw,ACTIVE,15796866449742,gid://shopify/Product/15796866449742,https://admin.shopify.com/store/vre00g-8b/products/15796866449742,CJYD205807501AZ,https://cjdropshipping.com/product/household-fashion-tassel-simple-cloth-blanket-p-2406110909121605500.html,Beige / 150 x 200 cm,CM-CJYD205807501AZ-BEIGE-150-X-200-CM,59516337979726,gid://shopify/ProductVariant/59516337979726,57931505500494,gid://shopify/InventoryItem/57931505500494,FALSE,CONTINUE,Color,Beige,Size,150 x 200 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
luma-tassel-cotton-throw,Luma Tassel Cotton Throw,ACTIVE,15796866449742,gid://shopify/Product/15796866449742,https://admin.shopify.com/store/vre00g-8b/products/15796866449742,CJYD205807501AZ,https://cjdropshipping.com/product/household-fashion-tassel-simple-cloth-blanket-p-2406110909121605500.html,Gray / 80 x 130 cm,CM-CJYD205807501AZ-GRAY-80-X-130-CM,59516338012494,gid://shopify/ProductVariant/59516338012494,57931505533262,gid://shopify/InventoryItem/57931505533262,FALSE,CONTINUE,Color,Gray,Size,80 x 130 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
luma-tassel-cotton-throw,Luma Tassel Cotton Throw,ACTIVE,15796866449742,gid://shopify/Product/15796866449742,https://admin.shopify.com/store/vre00g-8b/products/15796866449742,CJYD205807501AZ,https://cjdropshipping.com/product/household-fashion-tassel-simple-cloth-blanket-p-2406110909121605500.html,Gray / 130 x 170 cm,CM-CJYD205807501AZ-GRAY-130-X-170-CM,59516338045262,gid://shopify/ProductVariant/59516338045262,57931505566030,gid://shopify/InventoryItem/57931505566030,FALSE,CONTINUE,Color,Gray,Size,130 x 170 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
luma-tassel-cotton-throw,Luma Tassel Cotton Throw,ACTIVE,15796866449742,gid://shopify/Product/15796866449742,https://admin.shopify.com/store/vre00g-8b/products/15796866449742,CJYD205807501AZ,https://cjdropshipping.com/product/household-fashion-tassel-simple-cloth-blanket-p-2406110909121605500.html,Gray / 150 x 200 cm,CM-CJYD205807501AZ-GRAY-150-X-200-CM,59516338078030,gid://shopify/ProductVariant/59516338078030,57931505598798,gid://shopify/InventoryItem/57931505598798,FALSE,CONTINUE,Color,Gray,Size,150 x 200 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Waffle / 33 x 160 cm,CM-CJYD239088001AZ-WAFFLE-33-X-160-CM,59516338405710,gid://shopify/ProductVariant/59516338405710,57931505926478,gid://shopify/InventoryItem/57931505926478,FALSE,CONTINUE,Pattern,Waffle,Size,33 x 160 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
sera-woven-table-runner,Sera Woven Table Runner,ACTIVE,15796866548046,gid://shopify/Product/15796866548046,https://admin.shopify.com/store/vre00g-8b/products/15796866548046,CJYD239088001AZ,https://cjdropshipping.com/product/home-decoration-simple-woven-cotton-and-linen-table-runner-p-2506020359111604900.html,Waffle / 33 x 183 cm,CM-CJYD239088001AZ-WAFFLE-33-X-183-CM,59516338438478,gid://shopify/ProductVariant/59516338438478,57931505959246,gid://shopify/InventoryItem/57931505959246,FALSE,CONTINUE,Pattern,Waffle,Size,33 x 183 cm,,,CJ > Products > Store Products > Unconnected > Connect/Add Automatic Connection,needs-cj-connection
